17:05:38.346 [main] INFO  o.s.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 275063 ms
17:06:13.686 [main] INFO  o.s.s.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
17:06:13.714 [main] INFO  c.l.s.interceptors.WebMvcCfgAdapter - 拦截器org.springframework.web.servlet.config.annotation.InterceptorRegistry@fd09e43
17:06:13.851 [main] INFO  o.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8081"]
17:06:13.868 [main] INFO  o.s.b.w.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8081 (http) with context path ''
17:06:13.871 [main] INFO  c.l.s.SpringBootLearningApplication - Started SpringBootLearningApplication in 327.115 seconds (JVM running for 329.304)
17:06:26.569 [Thread-40] INFO  o.s.s.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
17:06:35.216 [main] INFO  c.l.s.SpringBootLearningApplication - Starting SpringBootLearningApplication on DESKTOP-5LURS2I with PID 22828 (E:\Github\SpringCloudLearning\DemoUserService\target\classes started by laofa in E:\Github\SpringCloudLearning)
17:06:35.218 [main] INFO  c.l.s.SpringBootLearningApplication - No active profile set, falling back to default profiles: default
17:06:37.836 [main] INFO  o.s.b.w.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8081 (http)
17:06:37.852 [main] INFO  o.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
17:06:37.860 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
17:06:37.860 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.17]
17:06:37.963 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
17:06:37.963 [main] INFO  o.s.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 958 ms
17:06:38.354 [main] INFO  o.s.s.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
17:06:38.380 [main] INFO  c.l.s.interceptors.WebMvcCfgAdapter - 拦截器org.springframework.web.servlet.config.annotation.InterceptorRegistry@20ab76ee
17:06:38.506 [main] INFO  o.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8081"]
17:06:38.522 [main] INFO  o.s.b.w.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8081 (http) with context path ''
17:06:38.525 [main] INFO  c.l.s.SpringBootLearningApplication - Started SpringBootLearningApplication in 6.849 seconds (JVM running for 9.717)
17:08:15.501 [Thread-7] INFO  o.s.s.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
17:08:23.297 [main] INFO  c.l.s.SpringBootLearningApplication - Starting SpringBootLearningApplication on DESKTOP-5LURS2I with PID 11624 (E:\Github\SpringCloudLearning\DemoUserService\target\classes started by laofa in E:\Github\SpringCloudLearning)
17:08:23.299 [main] INFO  c.l.s.SpringBootLearningApplication - No active profile set, falling back to default profiles: default
